ACCESSION_NUMBER	ID	ISSUEJURISDICTIONSECUROFFERING
0001717605-17-000001	59	A6
0001717605-17-000001	60	A7
0001717605-17-000001	61	A8
0001717605-17-000001	62	A9
0001717605-17-000001	63	B0
0001717605-17-000001	64	Z4
0001717605-17-000001	1	AL
0001717605-17-000001	2	AK
0001717605-17-000001	3	AZ
0001717605-17-000001	4	AR
0001717605-17-000001	5	CA
0001717605-17-000001	6	CO
0001717605-17-000001	7	CT
0001717605-17-000001	8	DE
0001717605-17-000001	9	DC
0001717605-17-000001	10	FL
0001717605-17-000001	11	GA
0001717605-17-000001	12	HI
0001717605-17-000001	13	ID
0001717605-17-000001	14	IL
0001717605-17-000001	15	IN
0001717605-17-000001	16	IA
0001717605-17-000001	17	KS
0001717605-17-000001	18	KY
0001717605-17-000001	19	LA
0001717605-17-000001	20	ME
