,CIK,FILING_DATE,SUBMISSION_TYPE,OFFERINGAMOUNT,PROGRESSUPDATE,NATUREOFAMENDMENT,MAXIMUMOFFERINGAMOUNT,CURRENTEMPLOYEES,TOTALASSETMOSTRECENTFISCALYEAR,TOTALASSETPRIORFISCALYEAR,CASHEQUIMOSTRECENTFISCALYEAR,CASHEQUIPRIORFISCALYEAR,ACTRECEIVEDRECENTFISCALYEAR,ACTRECEIVEDPRIORFISCALYEAR,SHORTTERMDEBTMRECENTFISCALYEAR,SHORTTERMDEBTPRIORFISCALYEAR,LONGTERMDEBTRECENTFISCALYEAR,LONGTERMDEBTPRIORFISCALYEAR,NETINCOMEMOSTRECENTFISCALYEAR,NETINCOMEPRIORFISCALYEAR,Form_C_Number,Funding_Success
1422,1681287,2017-10-24,C,100000.0,,,803359.0,10.0,127192.0,48382.0,127192.0,24475.0,0.0,0.0,13347.0,53199.0,20188.0,122545.0,-160907.0,-75996.0,2,1
191,1683872,2016-09-19,C,100000.0,,,500000.0,7.0,685989.0,0.0,114505.0,0.0,29412.0,0.0,331814.0,0.0,94000.0,0.0,-272109.0,0.0,1,1
844,1683872,2017-05-15,C,9999.4,,,399160.0,3.0,46062.0,0.0,30792.0,0.0,12270.0,0.0,100000.0,0.0,0.0,0.0,-66389.0,0.0,2,1
192,1684781,2016-09-19,C,69996.0,,,999996.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
197,1685112,2016-09-21,C,100000.0,,,1000000.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
198,1685112,2016-09-21,C,100000.0,,,1000000.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0
199,1685112,2016-09-21,C,100000.0,,,1000000.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0
200,1685112,2016-09-21,C,100000.0,,,1000000.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0
201,1685112,2016-09-21,C,100000.0,,,1000000.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0
202,1685129,2016-09-22,C,100000.0,,,1000000.0,3.0,29903.0,0.0,3422.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26710.0,0.0,1,1
203,1582471,2016-09-22,C,100000.0,,,1000000.0,9.0,121951.0,59451.0,114544.0,49150.0,0.0,0.0,655000.0,130000.0,0.0,0.0,-614696.0,-338178.0,1,0
204,1684972,2016-09-22,C,65000.0,,,100000.0,1.0,89288.22,0.0,38295.22,0.0,0.0,0.0,5079.36,0.0,38159.98,0.0,15732.09,0.0,1,1
207,1684570,2016-09-26,C,100000.0,,,1000000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
208,1682864,2016-09-26,C,100000.0,,,1000000.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
209,1685446,2016-09-26,C,251000.0,,,251000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
211,1684291,2016-09-26,C,250000.0,,,1000000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,33749.0,0.0,170325.0,0.0,-204074.0,0.0,1,0
213,1685501,2016-09-26,C,100000.0,,,1000000.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
217,1683142,2016-09-27,C,100000.0,,,800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1404,1683142,2017-10-19,C,10000.0,,,1070000.0,7.0,197214.0,0.0,3773.0,0.0,26248.0,0.0,71709.0,0.0,164835.0,0.0,-68202.0,0.0,2,1
2159,1683142,2018-03-30,C,20000.0,,"Extended expiration date to April 30, 2018.",1070000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135847.0,0.0,0.0,0.0,0.0,0.0,3,0
218,1685706,2016-09-27,C,100000.0,,,150000.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
221,1684715,2016-09-29,C,125000.0,,,360000.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
227,1685751,2016-10-04,C,100000.0,,"Updated deadline date, updated business plan and included video transcript.",1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
228,1685453,2016-10-04,C,25000.0,,,100000.0,3.0,116973.0,0.0,92412.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40552.0,-15000.0,1,1
231,1573103,2016-10-06,C,50000.0,,,1000000.0,4.0,44069.32,94170.58,25686.5,85437.41,14000.0,4375.35,288816.74,214714.79,700052.83,626862.51,-278655.68,-428787.41,1,1
1465,1573103,2017-11-01,C,9999.55,,"Extend deadline date, and updated business plan.",275000.0,4.0,111687.97,44069.32,100537.97,25686.5,8450.0,14000.0,337924.21,288816.74,416587.19,411236.09,-130536.83,-278655.68,2,1
233,1684568,2016-10-06,C,100000.0,,,1000000.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
239,1677789,2016-10-11,C,10000.0,,,100000.0,5.0,4657.0,3750.0,4657.0,3750.0,0.0,0.0,0.0,0.0,0.0,0.0,-38768.0,-20350.0,1,1
242,1683856,2016-10-12,C,50000.0,,,100000.0,4.0,9875.0,35000.0,9875.0,35000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
244,1684628,2016-10-12,C,100000.0,,,1000000.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
248,1674374,2016-10-14,C,100000.0,,,500000.0,2.0,22840.0,0.0,19340.0,0.0,0.0,0.0,422.0,0.0,40552.0,0.0,-22780.0,0.0,1,0
1490,1674374,2017-11-06,C,50000.0,"At the end of the offering, the issuer sold $11,788.01 and 90,677 securities.",,107000.0,0.0,124711.0,96112.0,2.0,64973.0,0.0,0.0,163466.0,12247.0,0.0,0.0,-135222.0,-269086.0,2,1
250,1683543,2016-10-17,C,1000000.0,,,,1.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
254,1446275,2016-10-18,C,50000.0,,,1000000.0,7.0,1293377.0,1704357.0,425569.0,809238.0,57600.0,83142.0,2416993.0,2339580.0,0.0,0.0,-2381300.0,-2726626.0,1,0
2965,1446275,2018-07-09,C,9999.7,,,106999.64,3.0,28540.0,0.0,28540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1
258,1687465,2016-10-18,C,40000.0,,,200000.0,28.0,557996.0,9383.0,359913.0,1932.0,19881.0,1713.0,71735.0,3693.0,706111.0,3693.0,-153805.0,-14339.0,1,1
3096,1687465,2018-08-01,C,50000.0,,,107000.0,1.0,95063.0,-10522.0,79391.0,1297.0,2400.0,0.0,11.76,1718.0,174644.0,0.0,-79110.0,-11240.0,2,1
259,1681969,2016-10-19,C,25000.0,,,100000.0,6.0,843125.0,0.0,70337.0,0.0,0.0,0.0,70000.0,0.0,175000.0,0.0,-174663.0,0.0,1,0
260,1687373,2016-10-19,C,50000.0,,,100000.0,4.0,384158.0,541467.0,9004.0,285505.0,40499.0,11547.0,263887.0,62118.0,1309979.0,644979.0,-1288982.0,-469030.0,1,0
494,1687373,2017-01-30,C,25000.0,,,100000.0,5.0,42925.0,17957.0,10834.0,7767.0,11535.0,0.0,16363.0,11134.0,3800.0,3800.0,-15741.0,23.0,2,0
263,1687495,2016-10-19,C,100000.0,,,1000000.0,4.0,1088600.0,443871.0,764414.0,158041.0,0.0,0.0,274823.0,169698.0,736097.0,121327.0,-55666.0,73128.0,1,1
275,1687611,2016-10-20,C,200000.0,"$731,164 in investments. Payments are still being processed; final number is yet to be determined. The deadline date was set to today to work around an EDGAR glitch but the offering actually closed on 10-04-16.",,550000.0,8.0,559684.0,0.0,392970.0,0.0,1401.0,0.0,0.0,0.0,0.0,0.0,-57247.0,0.0,1,1
284,1688072,2016-10-24,C,50000.0,,,500000.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1
286,1688129,2016-10-24,C,60000.0,,,1000000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
287,1687491,2016-10-24,C,100000.0,"$59,550 in investments. Payments are still being processed; final number is yet to be determined. The deadline date was set to today to work around an EDGAR glitch but the offering actually closed on 10-11-16.",,1000000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
292,1687500,2016-10-26,C,50000.0,,,1000000.0,6.0,398638.0,52042.0,23347.0,21495.0,6608.0,13610.0,259736.0,180500.0,565041.0,580124.0,-181769.0,-561639.0,1,0
293,1687382,2016-10-26,C,20000.0,,,25000.0,9.0,44293.0,0.0,35293.0,0.0,0.0,0.0,14323.0,0.0,49200.0,800.0,-19230.0,-800.0,1,1
294,1688437,2016-10-26,C,500000.0,,,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1964,1688437,2018-02-20,C,200000.0,,,500000.0,10.0,679312.0,0.0,244325.0,0.0,0.0,0.0,42592.0,0.0,791038.0,0.0,-155318.0,0.0,2,0
296,1687489,2016-10-27,C,65000.0,,,100000.0,1.0,27571.85,0.0,27571.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-132428.15,0.0,1,0
298,1687197,2016-10-28,C,10000.0,,,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
